Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[0].inst_tdcv2_decoder/inst_phase_select/tdc_dline_1[7:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[0].inst_tdcv2_decoder/inst_phase_select/tdc_dline_0[7:0]
193,193,0,60,00
194,194,0,60,00
195,195,0,60,00
196,196,0,60,00
197,197,0,60,00
198,198,0,60,00
199,199,0,60,00
200,200,0,60,00
201,201,0,60,00
202,202,0,60,00
203,203,0,60,00
204,204,0,60,00
205,205,0,60,00
206,206,0,60,00
207,207,0,60,00
208,208,0,60,00
209,209,0,60,00
210,210,0,60,00
211,211,0,60,00
212,212,0,60,00
213,213,0,60,00
214,214,0,60,00
215,215,0,60,00
216,216,0,60,00
217,217,0,60,00
218,218,0,60,00
219,219,0,60,00
220,220,0,60,00
221,221,0,60,00
222,222,0,60,00
223,223,0,60,00
224,224,0,60,00
225,225,0,60,00
226,226,0,60,00
227,227,0,60,00
228,228,0,60,00
229,229,0,60,00
230,230,0,60,00
231,231,0,60,00
232,232,0,60,00
233,233,0,60,00
234,234,0,60,00
235,235,0,60,00
236,236,0,60,00
237,237,0,60,00
238,238,0,60,00
239,239,0,60,00
240,240,0,60,00
241,241,0,60,00
242,242,0,60,00
243,243,0,60,00
244,244,0,60,00
245,245,0,60,00
246,246,0,60,00
247,247,0,60,00
248,248,0,60,00
249,249,0,60,00
250,250,0,60,00
251,251,0,60,00
252,252,0,60,00
253,253,0,60,00
254,254,0,60,00
255,255,0,60,00
256,256,0,60,00
257,257,0,60,00
258,258,0,60,00
259,259,0,60,00
260,260,0,60,00
261,261,0,60,00
262,262,0,60,00
263,263,0,60,00
264,264,0,60,00
265,265,0,60,00
266,266,0,60,00
267,267,0,60,00
268,268,0,60,00
269,269,0,60,00
270,270,0,60,00
271,271,0,60,00
272,272,0,60,00
273,273,0,60,00
274,274,0,60,00
275,275,0,60,00
276,276,0,60,00
277,277,0,60,00
278,278,0,60,00
279,279,0,60,00
280,280,0,60,00
281,281,0,60,00
282,282,0,60,00
283,283,0,60,00
284,284,0,60,00
285,285,0,60,00
286,286,0,60,00
287,287,0,60,00
288,288,0,60,00
289,289,0,60,00
290,290,0,60,00
291,291,0,60,00
292,292,0,60,00
293,293,0,60,00
294,294,0,60,00
295,295,0,60,00
296,296,0,60,00
297,297,0,60,00
298,298,0,60,00
299,299,0,60,00
300,300,0,60,00
301,301,0,60,00
302,302,0,60,00
303,303,0,60,00
304,304,0,60,00
305,305,0,60,00
306,306,0,60,00
307,307,0,60,00
308,308,0,60,00
309,309,0,60,00
310,310,0,60,00
311,311,0,60,00
312,312,0,60,00
313,313,0,60,00
314,314,0,60,00
315,315,0,60,00
316,316,0,60,00
317,317,0,60,00
318,318,0,60,00
319,319,0,60,00
320,320,0,60,00
321,321,0,60,00
322,322,0,60,00
323,323,0,60,00
324,324,0,60,00
325,325,0,60,00
326,326,0,60,00
327,327,0,60,00
328,328,0,60,00
329,329,0,60,00
330,330,0,60,00
331,331,0,60,00
332,332,0,60,00
333,333,0,60,00
334,334,0,60,00
335,335,0,60,00
336,336,0,60,00
337,337,0,60,00
338,338,0,60,00
339,339,0,60,00
340,340,0,60,00
341,341,0,60,00
342,342,0,60,00
343,343,0,60,00
344,344,0,60,00
345,345,0,60,00
346,346,0,60,00
347,347,0,60,00
348,348,0,60,00
349,349,0,60,00
350,350,0,60,00
351,351,0,60,00
352,352,0,60,00
353,353,0,60,00
354,354,0,60,00
355,355,0,60,00
356,356,0,60,00
357,357,0,60,00
358,358,0,60,00
359,359,0,60,00
360,360,0,60,00
361,361,0,60,00
362,362,0,60,00
363,363,0,60,00
364,364,0,60,00
365,365,0,60,00
366,366,0,60,00
367,367,0,60,00
368,368,0,60,00
369,369,0,60,00
370,370,0,60,00
371,371,0,60,00
372,372,0,60,00
373,373,0,60,00
374,374,0,60,00
375,375,0,60,00
376,376,0,60,00
377,377,0,60,00
378,378,0,60,00
379,379,0,60,00
380,380,0,60,00
381,381,0,60,00
382,382,0,60,00
383,383,0,60,00
384,384,0,60,00
385,385,0,60,00
386,386,0,60,00
387,387,0,60,00
388,388,0,60,00
389,389,0,60,00
390,390,0,60,00
391,391,0,60,00
392,392,0,60,00
393,393,0,60,00
394,394,0,60,00
395,395,0,60,00
396,396,0,60,00
397,397,0,60,00
398,398,0,60,00
399,399,0,60,00
400,400,0,60,00
401,401,0,60,00
402,402,0,60,00
403,403,0,60,00
404,404,0,60,00
405,405,0,60,00
406,406,0,60,00
407,407,0,60,00
408,408,0,60,00
409,409,0,60,00
410,410,0,60,00
411,411,0,60,00
412,412,0,60,00
413,413,0,60,00
414,414,0,60,00
415,415,0,60,00
416,416,0,60,00
417,417,0,60,00
418,418,0,60,00
419,419,0,60,00
420,420,0,60,00
421,421,0,60,00
422,422,0,60,00
423,423,0,60,00
424,424,0,60,00
425,425,0,60,00
426,426,0,60,00
427,427,0,60,00
428,428,0,60,00
429,429,0,60,00
430,430,0,60,00
431,431,0,60,00
432,432,0,60,00
433,433,0,60,00
434,434,0,60,00
435,435,0,60,00
436,436,0,60,00
437,437,0,60,00
438,438,0,60,00
439,439,0,60,00
440,440,0,60,00
441,441,0,60,00
442,442,0,60,00
443,443,0,60,00
444,444,0,60,00
445,445,0,60,00
446,446,0,60,00
447,447,0,60,00
448,448,0,60,00
449,449,0,60,00
450,450,0,60,00
451,451,0,60,00
452,452,0,60,00
453,453,0,60,00
454,454,0,60,00
455,455,0,60,00
456,456,0,60,00
457,457,0,60,00
458,458,0,60,00
459,459,0,60,00
460,460,0,60,00
461,461,0,60,00
462,462,0,60,00
463,463,0,60,00
464,464,0,60,00
465,465,0,60,00
466,466,0,60,00
467,467,0,60,00
468,468,0,60,00
469,469,0,60,00
470,470,0,60,00
471,471,0,60,00
472,472,0,60,00
473,473,0,60,00
474,474,0,60,00
475,475,0,60,00
476,476,0,60,00
477,477,0,60,00
478,478,0,60,00
479,479,0,60,00
480,480,0,60,00
481,481,0,60,00
482,482,0,60,00
483,483,0,60,00
484,484,0,60,00
485,485,0,60,00
486,486,0,60,00
487,487,0,60,00
488,488,0,60,00
489,489,0,60,00
490,490,0,60,00
491,491,0,60,00
492,492,0,60,00
493,493,0,60,00
494,494,0,60,00
495,495,0,60,00
496,496,0,60,00
497,497,0,60,00
498,498,0,60,00
499,499,0,60,00
500,500,0,60,00
501,501,0,60,00
502,502,0,60,00
503,503,0,60,00
504,504,0,60,00
505,505,0,60,00
506,506,0,60,00
507,507,0,60,00
508,508,0,60,00
509,509,0,60,00
510,510,0,60,00
511,511,0,60,00
512,512,1,60,00
513,513,0,60,00
514,514,0,60,00
515,515,0,60,00
516,516,0,60,00
517,517,0,60,00
518,518,0,60,00
519,519,0,60,00
520,520,0,60,00
521,521,0,60,00
522,522,0,60,00
523,523,0,60,00
524,524,0,60,00
525,525,0,60,00
526,526,0,60,00
527,527,0,60,00
528,528,0,60,00
529,529,0,60,00
530,530,0,60,00
531,531,0,60,00
532,532,0,60,00
533,533,0,60,00
534,534,0,60,00
535,535,0,60,00
536,536,0,60,00
537,537,0,60,00
538,538,0,60,00
539,539,0,60,00
540,540,0,60,00
541,541,0,60,00
542,542,0,60,00
543,543,0,60,00
544,544,0,60,00
545,545,0,60,00
546,546,0,60,00
547,547,0,60,00
548,548,0,60,00
549,549,0,60,00
550,550,0,60,00
551,551,0,60,00
552,552,0,60,00
553,553,0,60,00
554,554,0,60,00
555,555,0,60,00
556,556,0,60,00
557,557,0,60,00
558,558,0,60,00
559,559,0,60,00
560,560,0,60,00
561,561,0,60,00
562,562,0,60,00
563,563,0,60,00
564,564,0,60,00
565,565,0,60,00
566,566,0,60,00
567,567,0,60,00
568,568,0,60,00
569,569,0,60,00
570,570,0,60,00
571,571,0,60,00
572,572,0,60,00
573,573,0,60,00
574,574,0,60,00
575,575,0,60,00
576,576,0,60,00
577,577,0,60,00
578,578,0,60,00
579,579,0,60,00
580,580,0,60,00
581,581,0,60,00
582,582,0,60,00
583,583,0,60,00
584,584,0,60,00
585,585,0,60,00
586,586,0,60,00
587,587,0,60,00
588,588,0,60,00
589,589,0,60,00
590,590,0,60,00
591,591,0,60,00
592,592,0,60,00
593,593,0,60,00
594,594,0,60,00
595,595,0,60,00
596,596,0,60,00
597,597,0,60,00
598,598,0,60,00
599,599,0,60,00
600,600,0,60,00
601,601,0,60,00
602,602,0,60,00
603,603,0,60,00
604,604,0,60,00
605,605,0,60,00
606,606,0,60,00
607,607,0,60,00
608,608,0,60,00
609,609,0,60,00
610,610,0,60,00
611,611,0,60,00
612,612,0,60,00
613,613,0,60,00
614,614,0,60,00
615,615,0,60,00
616,616,0,60,00
617,617,0,60,00
618,618,0,60,00
619,619,0,60,00
620,620,0,60,00
621,621,0,60,00
622,622,0,60,00
623,623,0,60,00
624,624,0,60,00
625,625,0,60,00
626,626,0,60,00
627,627,0,60,00
628,628,0,60,00
629,629,0,60,00
630,630,0,60,00
631,631,0,60,00
632,632,0,60,00
633,633,0,60,00
634,634,0,60,00
635,635,0,60,00
636,636,0,60,00
637,637,0,60,00
638,638,0,60,00
639,639,0,60,00
640,640,0,60,00
641,641,0,60,00
642,642,0,60,00
643,643,0,60,00
644,644,0,60,00
645,645,0,60,00
646,646,0,60,00
647,647,0,60,00
648,648,0,60,00
649,649,0,60,00
650,650,0,60,00
651,651,0,60,00
652,652,0,60,00
653,653,0,60,00
654,654,0,60,00
655,655,0,60,00
656,656,0,60,00
657,657,0,60,00
658,658,0,60,00
659,659,0,60,00
660,660,0,60,00
661,661,0,60,00
662,662,0,60,00
663,663,0,60,00
664,664,0,60,00
665,665,0,60,00
666,666,0,60,00
667,667,0,60,00
668,668,0,60,00
669,669,0,60,00
670,670,0,60,00
671,671,0,60,00
672,672,0,60,00
673,673,0,60,00
674,674,0,60,00
675,675,0,60,00
676,676,0,60,00
677,677,0,60,00
678,678,0,60,00
679,679,0,60,00
680,680,0,60,00
681,681,0,60,00
682,682,0,60,00
683,683,0,60,00
684,684,0,60,00
685,685,0,60,00
686,686,0,60,00
687,687,0,60,00
688,688,0,60,00
689,689,0,60,00
690,690,0,60,00
691,691,0,60,00
692,692,0,60,00
693,693,0,60,00
694,694,0,60,00
695,695,0,60,00
696,696,0,60,00
697,697,0,60,00
698,698,0,60,00
699,699,0,60,00
700,700,0,60,00
701,701,0,60,00
702,702,0,60,00
703,703,0,60,00
704,704,0,60,00
705,705,0,60,00
706,706,0,60,00
707,707,0,60,00
708,708,0,60,00
709,709,0,60,00
710,710,0,60,00
711,711,0,60,00
712,712,0,60,00
713,713,0,60,00
714,714,0,60,00
715,715,0,60,00
716,716,0,60,00
717,717,0,60,00
718,718,0,60,00
719,719,0,60,00
720,720,0,60,00
721,721,0,60,00
722,722,0,60,00
723,723,0,60,00
724,724,0,60,00
725,725,0,60,00
726,726,0,60,00
727,727,0,60,00
728,728,0,60,00
729,729,0,60,00
730,730,0,60,00
731,731,0,60,00
732,732,0,60,00
733,733,0,60,00
734,734,0,60,00
735,735,0,60,00
736,736,0,60,00
737,737,0,60,00
738,738,0,60,00
739,739,0,60,00
740,740,0,60,00
741,741,0,60,00
742,742,0,60,00
743,743,0,60,00
744,744,0,60,00
745,745,0,60,00
746,746,0,60,00
747,747,0,60,00
748,748,0,60,00
749,749,0,60,00
750,750,0,60,00
751,751,0,60,00
752,752,0,60,00
753,753,0,60,00
754,754,0,60,00
755,755,0,60,00
756,756,0,60,00
757,757,0,60,00
758,758,0,60,00
759,759,0,60,00
760,760,0,60,00
761,761,0,60,00
762,762,0,60,00
763,763,0,60,00
764,764,0,60,00
765,765,0,60,00
766,766,0,60,00
767,767,0,60,00
768,768,0,60,00
769,769,0,60,00
770,770,0,60,00
771,771,0,60,00
772,772,0,60,00
773,773,0,60,00
774,774,0,60,00
775,775,0,60,00
776,776,0,60,00
777,777,0,60,00
778,778,0,60,00
779,779,0,60,00
780,780,0,60,00
781,781,0,60,00
782,782,0,60,00
783,783,0,60,00
784,784,0,60,00
785,785,0,60,00
786,786,0,60,00
787,787,0,60,00
788,788,0,60,00
789,789,0,60,00
790,790,0,60,00
791,791,0,60,00
792,792,0,60,00
793,793,0,60,00
794,794,0,60,00
795,795,0,60,00
796,796,0,60,00
797,797,0,60,00
798,798,0,60,00
799,799,0,60,00
800,800,0,60,00
801,801,0,60,00
802,802,0,60,00
803,803,0,60,00
804,804,0,60,00
805,805,0,60,00
806,806,0,60,00
807,807,0,60,00
808,808,0,60,00
809,809,0,60,00
810,810,0,60,00
811,811,0,60,00
812,812,0,60,00
813,813,0,60,00
814,814,0,60,00
815,815,0,60,00
816,816,0,60,00
817,817,0,60,00
818,818,0,60,00
819,819,0,60,00
820,820,0,60,00
821,821,0,60,00
822,822,0,60,00
823,823,0,60,00
824,824,0,60,00
825,825,0,60,00
826,826,0,60,00
827,827,0,60,00
828,828,0,60,00
829,829,0,60,00
830,830,0,60,00
831,831,0,60,00
832,832,0,60,00
833,833,0,60,00
834,834,0,60,00
835,835,0,60,00
836,836,0,60,00
837,837,0,60,00
838,838,0,60,00
839,839,0,60,00
840,840,0,60,00
841,841,0,60,00
842,842,0,60,00
843,843,0,60,00
844,844,0,60,00
845,845,0,60,00
846,846,0,60,00
847,847,0,60,00
848,848,0,60,00
849,849,0,60,00
850,850,0,60,00
851,851,0,60,00
852,852,0,60,00
853,853,0,60,00
854,854,0,60,00
855,855,0,60,00
856,856,0,60,00
857,857,0,60,00
858,858,0,60,00
859,859,0,60,00
860,860,0,60,00
861,861,0,60,00
862,862,0,60,00
863,863,0,60,00
864,864,0,60,00
865,865,0,60,00
866,866,0,60,00
867,867,0,60,00
868,868,0,60,00
869,869,0,60,00
870,870,0,60,00
871,871,0,60,00
872,872,0,60,00
873,873,0,60,00
874,874,0,60,00
875,875,0,60,00
876,876,0,60,00
877,877,0,60,00
878,878,0,60,00
879,879,0,60,00
880,880,0,60,00
881,881,0,60,00
882,882,0,60,00
883,883,0,60,00
884,884,0,60,00
885,885,0,60,00
886,886,0,60,00
887,887,0,60,00
888,888,0,60,00
889,889,0,60,00
890,890,0,60,00
891,891,0,60,00
892,892,0,60,00
893,893,0,60,00
894,894,0,60,00
895,895,0,60,00
896,896,0,60,00
897,897,0,60,00
898,898,0,60,00
899,899,0,60,00
900,900,0,60,00
901,901,0,60,00
902,902,0,60,00
903,903,0,60,00
904,904,0,60,00
905,905,0,60,00
906,906,0,60,00
907,907,0,60,00
908,908,0,60,00
909,909,0,60,00
910,910,0,60,00
911,911,0,60,00
912,912,0,60,00
913,913,0,60,00
914,914,0,60,00
915,915,0,60,00
916,916,0,60,00
917,917,0,60,00
918,918,0,60,00
919,919,0,60,00
920,920,0,60,00
921,921,0,60,00
922,922,0,60,00
923,923,0,60,00
924,924,0,60,00
925,925,0,60,00
926,926,0,60,00
927,927,0,60,00
928,928,0,60,00
929,929,0,60,00
930,930,0,60,00
931,931,0,60,00
932,932,0,60,00
933,933,0,60,00
934,934,0,60,00
935,935,0,60,00
936,936,0,60,00
937,937,0,60,00
938,938,0,60,00
939,939,0,60,00
940,940,0,60,00
941,941,0,60,00
942,942,0,60,00
943,943,0,60,00
944,944,0,60,00
945,945,0,60,00
946,946,0,60,00
947,947,0,60,00
948,948,0,60,00
949,949,0,60,00
950,950,0,60,00
951,951,0,60,00
952,952,0,60,00
953,953,0,60,00
954,954,0,60,00
955,955,0,60,00
956,956,0,60,00
957,957,0,60,00
958,958,0,60,00
959,959,0,60,00
960,960,0,60,00
961,961,0,60,00
962,962,0,60,00
963,963,0,60,00
964,964,0,60,00
965,965,0,60,00
966,966,0,60,00
967,967,0,60,00
968,968,0,60,00
969,969,0,60,00
970,970,0,60,00
971,971,0,60,00
972,972,0,60,00
973,973,0,60,00
974,974,0,60,00
975,975,0,60,00
976,976,0,60,00
977,977,0,60,00
978,978,0,60,00
979,979,0,60,00
980,980,0,60,00
981,981,0,60,00
982,982,0,60,00
983,983,0,60,00
984,984,0,60,00
985,985,0,60,00
986,986,0,60,00
987,987,0,60,00
988,988,0,60,00
989,989,0,60,00
990,990,0,60,00
991,991,0,60,00
992,992,0,60,00
993,993,0,60,00
994,994,0,60,00
995,995,0,60,00
996,996,0,60,00
997,997,0,60,00
998,998,0,60,00
999,999,0,60,00
1000,1000,0,60,00
1001,1001,0,60,00
1002,1002,0,60,00
1003,1003,0,60,00
1004,1004,0,60,00
1005,1005,0,60,00
1006,1006,0,60,00
1007,1007,0,60,00
1008,1008,0,60,00
1009,1009,0,60,00
1010,1010,0,60,00
1011,1011,0,60,00
1012,1012,0,60,00
1013,1013,0,60,00
1014,1014,0,60,00
1015,1015,0,60,00
1016,1016,0,60,00
1017,1017,0,60,00
1018,1018,0,60,00
1019,1019,0,60,00
1020,1020,0,60,00
1021,1021,0,60,00
1022,1022,0,60,00
1023,1023,0,60,00
